OBJECTID *,Ref_ID,Reference,Last_Updt
101,Slack and others (2017),"Slack, J.F., Kimball, B.E., and Shedd, K.B., 2017, Cobalt, chap. F of Schulz, K.J., DeYoung, J.H., Jr., Seal, R.R., II, and Bradley, D.C., eds., Critical mineral resources of the United States—Economic and environmental geology and prospects for future supply: U.S. Geological Survey Professional Paper 1802, p. F1– F40., accessed April 24, 2018, at http://dx.doi.org/10.3133/pp1802F.",6/26/2018
102,Smith (1968),"Smith, F.A., 1968, Mineralization of the Boss Bixby Anomaly, Iron and Dent Counties, Missouri: University of Missouri at Rolla, Master's thesis, 76 p.",5/10/2018
103,Spencer (1908),"Spencer, A.C., 1908, Magnetite Deposits of the Cornwall Type in Pennsylvania: U.S. Geological Survey Bulletin 359, 102 p.",4/24/2018
104,Talon Metals Corp. (2018),"Talon Metals Corp., 2018, Tamarack Nickel-Copper-PGE Project Corporate Presentation, accessed April 16, 2018, at https://www.talonmetals.com/investors/corporatepresentations.php.",4/24/2018
105,Thomas and others (2014),"Thomas, Brian, Palmer, Paul, and Khorakchy, Manochehr Oliazadeh, 2014, NI 43-101 Technical Report, First Independent Technical Report on the Tamarack North Project, Tamarack, Minnesota: Prepared for Talon Metals Corp by Golder Associates Aug. 29, 2014., 147 p.",4/24/2018
106,Thompson and Naldrett (1984),"Thompson, J.F.H., Naldrett, A.J., 1984. Sulfide–silicate reactions as a guide to Ni–Cu–Co mineralization in central Maine. In: Buchanan, D.L., Jones, M.J. (Eds.), Sulfide Deposits in Mafic and Ultramafic Rocks. Institute of Mining and Metallurgy Special Publication, London, pp. 103–113",5/16/2018
107,Trilogy Metals Inc. (2018),"Trilogy Metals Inc., 2018, Trilogy Metals Reports Maiden Inferred Cobalt Resource Estimate Contining 77 Million Pounds of Cobalt at the Bornite Project, Alaska, USA, accessed June 6, 2018, at https://trilogymetals.com/news/2018/trilogy-metals-reports-maiden-inferred-cobalt-resource-estimate-containing-77-million-pounds-of-cobalt-at-the-bornite-project-alaska-usa.",6/6/2018
108,U.S. Geological Survey and U.S. Bureau of Mines (1968),"U.S. Geological Survey and U.S. Bureau of Mines, 1968, Mineral Resources of the Appalachian Region: U.S. Geological Survey Professional Paper 580, 492 p.",5/11/2018
109,US Cobalt Inc. (2003),"US Cobalt Inc., 2003, Annual Information Form, Fiscal Year Ended March 31, 2002:  Denver, Colorado, U.S. Cobalt Inc., 49 p.",5/9/2018
110,US OTA (1985),"U.S. Congress, Office of Technology Assessment, OTA-ITE-248, May 1985, Strategic Materials: Technologies to Reduce U.S. Import Vulnerability (Washington, DC)., accessed June 7, 2018, at https://digital.library.unt.edu/ark:/67531/metadc39588/",6/7/2018
111,Vhay (1947),"Vhay, J.S., 1947, Cobalt-copper deposits of the Blackbird district, Lemhi County, Idaho: U.S. Geological Survey Open-File Report 48-1, 26 p.",5/8/2018
112,Vhay (1964),"Vhay, J.S., 1964, Cobalt and Nickel in U.S. Geological Survey, Idaho Bureau of Mines and Geology, Idaho Department of Highways, and Idaho Department of Reclamation, compilers, 1964, Mineral and water resources of Idaho: Idaho Bureau of Mines and Geology Special Report No. 1, p. 66-68.",5/9/2018
113,Vhay and others (1973),"Vhay, J.S., Brobst, D.A., and Heyl, A.V., 1973, Cobalt in United States Mineral Resources: U.S. Geological Survey Professional Paper 820, p. 143-155.",4/26/2018
