OBJECTID *,Shape *,Site_ID *,Ftr_ID *,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
44,Point,MO00001,Mr00036,Fredericktown District,<Null>,5/10/2018,Mineral Region,Mining District,cobalt; copper; lead; nickel; iron,37.572947,-90.216625,Approximate center of polygon,Outline of mining district,MO,Madison; Perry; Bollinger,"Small (<1:250,000)",1989,"Page 65, Figure 1",Baxter and others (1989),<Null>,Yes
45,Point,MO00002,Mo00774,Higdon,<Null>,6/21/2018,Mineral Occurrence,Deposit,cobalt; copper; nickel; zinc,37.603468,-90.141788,Location of inactive mine,<Null>,MO,Perry,"Small (<1:250,000)",1989,"Page 65, Figure 1",Baxter and others (1989),<Null>,Yes
46,Point,MO00013,Mf00285,Madison Mine,<Null>,5/9/2018,Mine Feature,Underground Workings,lead; copper; nickel cobalt; iron,37.546136,-90.276154,Superfund site location,<Null>,MO,Madison,<Null>,2018,<Null>,EPA (2018b),<Null>,No
47,Point,MO00013,Mo00559,Madison,<Null>,5/9/2018,Mineral Occurrence,Deposit,lead; copper; nickel cobalt; iron; silver,37.546136,-90.276154,Superfund site location,<Null>,MO,Madison,<Null>,2018,<Null>,EPA (2018b),<Null>,No
48,Point,MO00014,Mo00560,Boss-Bixby,<Null>,5/10/2018,Mineral Occurrence,Deposit,copper; cobalt; iron,37.665829,-91.170418,Location of iron deposit,<Null>,MO,Dent; Iron,"Small (<1:250,000)",1967,Figure 1,Kisvarsanyi and Proctor (1967),<Null>,No
49,Point,MT00002,Mo00754,Johnny Lee Upper Zone,Upper Sulphide Zone; Strawberry Main,4/19/2018,Mineral Occurrence,Deposit,cobalt; copper; gold; silver; barite,46.779814,-110.913938,Approximate center of polygon,Current resource,MT,Meagher,"Large (>1:24,000)",2013,Figure 7.3,Winckers and others (2013),<Null>,Yes
50,Point,MT00002,Mo00755,Johnny Lee Lower Zone,Lower Sulphide Zone; Strawberry Main,4/19/2018,Mineral Occurrence,Deposit,cobalt; copper; gold; silver; barite; lead; zinc,46.781593,-110.909995,Approximate center of polygon,Current resource,MT,Meagher,"Large (>1:24,000)",2013,Figure 7.3,Winckers and others (2013),<Null>,Yes
51,Point,MT00002,Mo00756,Lowry Middle Zone,Strawberry East,4/19/2018,Mineral Occurrence,Deposit,cobalt; copper; gold; silver,46.770901,-110.881314,Approximate center of polygon,Current resource,MT,Meagher,"Large (>1:24,000)",2013,Figure 7.3,Winckers and others (2013),<Null>,Yes
52,Point,MT00002,Mo00757,Lowry 0/1 Zone,<Null>,4/19/2018,Mineral Occurrence,Prospect,cobalt; copper; gold; silver,46.768959,-110.874409,Approximate center of polygon,Exploration potential,MT,Meagher,"Large (>1:24,000)",2013,Figure 7.3,Winckers and others (2013),<Null>,Yes
53,Point,MT00002,Mo00758,Lowry Lower Zone,<Null>,4/19/2018,Mineral Occurrence,Prospect,cobalt; copper; gold; silver,46.770384,-110.880517,Approximate center of polygon,Exploration potential,MT,Meagher,"Large (>1:24,000)",2013,Figure 7.3,Winckers and others (2013),<Null>,Yes
54,Point,MT00002,Mo00759,Lowry II Zone,<Null>,4/19/2018,Mineral Occurrence,Prospect,cobalt; copper; gold; silver,46.768908,-110.874027,Approximate center of polygon,Exploration potential,MT,Meagher,"Large (>1:24,000)",2013,Figure 7.3,Winckers and others (2013),<Null>,Yes
55,Point,MT00002,Mo00760,Lowry Upper Zone,<Null>,4/19/2018,Mineral Occurrence,Prospect,cobalt; copper; gold; silver,46.771136,-110.881654,Approximate center of polygon,Exploration potential,MT,Meagher,"Large (>1:24,000)",2013,Figure 7.3,Winckers and others (2013),<Null>,Yes
56,Point,MT00029,Mr00148,Smith River District,<Null>,4/19/2018,Mineral Region,Mining District,cobalt; copper; gold; silver; barite; lead; zinc,46.836069,-111.149437,Approximate center of polygon,Outline of new district,MT,Meagher,"Small (<1:250,000)",1995,<Null>,Montana State Library (1995),<Null>,Yes
57,Point,NC00001,Mr00047,Webster District,<Null>,5/11/2018,Mineral Region,Mining District,nickel; cobalt,35.34177,-83.212695,Deposit containing nickel,<Null>,NC,Jackson,"Small (<1:250,000)",1968,Figure 96,U.S. Geological Survey and U.S. Bureau of Mines (1968),Adjusted to Esri USA Topo (2018),No
58,Point,NM00041,Mf00579,Black Hawk Mine,<Null>,5/11/2018,Mine Feature,Mine Shaft,cobalt; nickel; zinc; silver; copper; gold; uranium,32.724747,-108.501291,Point placed on Black Hawk Mine Shaft located on Plate 14 of Gillerman and Whitebread (1956),Georeferenced and digitized district map on Gillerman and Whitebread (1956),NM,Grant,"Medium (1:24,000-1:250,000)",1956,Plate 14,Gillerman and Whitebread (1956),<Null>,Yes
59,Point,NM00041,Mo00773,Black Hawk,<Null>,5/18/2018,Mineral Occurrence,Deposit,cobalt; nickel; zinc; silver; copper; gold; uranium,32.704457,-108.506055,Point placed on Black Hawk Mine Shaft located on Plate 14 of Gillerman and Whitebread (1956),Georeferenced and digitized Black Hawk district map on Gillerman and Whitebread (1956),NM,Grant,"Medium (1:24,000-1:250,000)",1956,Plate 14,Gillerman and Whitebread (1956),<Null>,Yes
60,Point,NM00042,Mr00154,Black Hawk District,<Null>,5/11/2018,Mineral Region,Mining District,cobalt; nickel; zinc; silver; copper; gold; uranium,32.704457,-108.501291,Approximate center of polygon,Mining district outline,NM,Grant,"Small (<1:250,000)",2017,Map 24,McLemore (2017),<Null>,Yes
61,Point,OR00001,Mo00748,Turner,Turner-Albright; Mammoth,4/17/2018,Mineral Occurrence,Deposit,gold; copper; silver; zinc; cobalt,41.999581,-123.757931,Approximate center of polygons,Outline of massive sulfides,OR,Josephine,"Large (>1:24,000)",1987,Figure 2,Kuhns and Baitis (1987),<Null>,Yes
62,Point,OR00002,Mo00561,Eight Dollar Mountain,<Null>,5/10/2018,Mineral Occurrence,Deposit,nickel; cobalt; chromium,42.257756,-123.662801,Approximate center of nickel bearing laterites,<Null>,OR,Josephine,"Large (>1:24,000)",1978,Figure 13,Hull (1978),<Null>,No
63,Point,OR00002,Mr00155,Eight Dollar Mountain,<Null>,6/21/2018,Mineral Region,Deposit,nickel; cobalt; chromium,42.257756,-123.662801,Approximate center of polygon,Outline of District from fig 13,OR,Josephine,"Large (>1:24,000)",1978,Figure 13,Hull (1978),<Null>,Yes
64,Point,OR00005,Mf00577,Nickel Mountain Mine,Hanna Mine,4/26/2018,Mine Feature,Open Pit Mine,nickel; cobalt,42.966017,-123.437864,Center of open pit,<Null>,OR,Douglas,"Large (>1:24,000)",1942,Plate 38,Pecora and Hobbs (1942),Adjusted to Esri World Imagery (2018),No
65,Point,OR00005,Mo00767,Nickel Mountain,Hanna; Riddle,4/26/2018,Mineral Occurrence,Deposit,nickel; cobalt,42.960211,-123.436284,Polygon centroid,"Outline of Proved and Probable ore bodies, and Possible ore",OR,Douglas,"Large (>1:24,000)",1942,Plate 38,Pecora and Hobbs (1942),<Null>,Yes
66,Point,PA00001,Mf00574,Cornwall Mine,<Null>,4/18/2018,Mine Feature,Open Pit Mine,iron; copper; sulfur; cobalt; gold; silver,40.266705,-76.41104,Approximate center of ore,<Null>,PA,Lebanon,"Large (>1:24,000)",1933,Figure 2,Hickok (1933),Mine also has underground workings,No
67,Point,PA00001,Mo00749,Cornwall,<Null>,4/18/2018,Mineral Occurrence,Deposit,iron; copper; sulfur; cobalt; gold; silver,40.266705,-76.41104,Approximate center of polygon,Ore boundary,PA,Lebanon,"Large (>1:24,000)",1933,Figure 2,Hickok (1933),East and West ore bodies,Yes
68,Point,PR00001,Mo00629,Guanajibo,<Null>,7/17/2018,Mineral Occurrence,Deposit,cobalt; chromium; iron; nickel,18.136267,-67.159816,Approximate center of polygon,Approximate outline of Guanajibo Deposit,PR,Cabo Rojo,"Medium (1:24,000-1:250,000)",1959,"Page 3, Figure 1",Heidenreich and Reynolds (1959),<Null>,Yes
69,Point,PR00002,Mo00630,Punta Guanajibo,<Null>,7/17/2018,Mineral Occurrence,Deposit,cobalt; chromium; iron; nickel,18.163555,-67.178359,Approximate center of polygon,Approximate outline of Punta Guanajibo Deposit,PR,Cabo Rojo,"Medium (1:24,000-1:250,000)",1959,"Page 3, Figure 1",Heidenreich and Reynolds (1959),<Null>,Yes
70,Point,PR00003,Mo00631,Las Mesas,<Null>,7/17/2018,Mineral Occurrence,Deposit,cobalt; chromium; iron; nickel,18.18632,-67.109461,Approximate center of polygon,Approximate outline of Rosario North Deposit,PR,Mayaguez,"Medium (1:24,000-1:250,000)",1959,"Page 3, Figure 1",Heidenreich and Reynolds (1959),<Null>,Yes
71,Point,PR00004,Mo00632,North deposit,<Null>,7/17/2018,Mineral Occurrence,Deposit,cobalt; chromium; iron; nickel,18.170942,-67.037547,Approximate center of polygon,Approximate outline of Rosario North Deposit,PR,Maricao; San German,"Medium (1:24,000-1:250,000)",1959,"Page 3, Figure 1",Heidenreich and Reynolds (1959),<Null>,Yes
72,Point,PR00004,Mo00633,South deposit,<Null>,7/17/2018,Mineral Occurrence,Deposit,cobalt; chromium; iron; nickel,18.165816,-67.021415,Approximate center of polygon,Approximate outline of Rosario South Deposit,PR,Maricao; San German,"Medium (1:24,000-1:250,000)",1959,"Page 3, Figure 1",Heidenreich and Reynolds (1959),<Null>,Yes
73,Point,PR00005,Mo00634,West deposit,<Null>,7/17/2018,Mineral Occurrence,Deposit,cobalt; chromium; iron; nickel,18.15466,-66.993374,Approximate center of polygon,Approximate outline of Maricao West Deposit,PR,Maricao; San German,"Medium (1:24,000-1:250,000)",1959,"Page 3, Figure 1",Heidenreich and Reynolds (1959),<Null>,Yes
74,Point,PR00005,Mo00635,East deposit,<Null>,7/17/2018,Mineral Occurrence,Deposit,cobalt; chromium; iron; nickel,18.149534,-66.98086,Approximate center of polygon,Approximate outline of Maricao East Deposit,PR,Maricao; San German,"Medium (1:24,000-1:250,000)",1959,"Page 3, Figure 1",Heidenreich and Reynolds (1959),<Null>,Yes
75,Point,TN00001,Mr00037,Ducktown District,Ducktown Basin,5/11/2018,Mineral Region,Mining District,copper; cobalt; iron; zinc; lead; silver; gold,35.04864,-84.383387,Approximate center of polygon,Outline of Tennessee area from plate 1; May not be the actual district boundary,TN,Polk,"Medium (1:24,000-1:250,000)",1926,Plate 1,Emmons and others (1926),<Null>,Yes
